epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,1217.58,0.78004,0.47714,0.97509,0.97572,0.93476,0.9646,0.778,0.73662,0.37591,0.88178,0.0001387,0.0001387,0.0001387
89,1240.3,0.78757,0.49681,0.98503,0.97954,0.92786,0.96694,0.77766,0.73432,0.38093,0.88333,0.0001288,0.0001288,0.0001288
90,1262.96,0.76117,0.47756,0.97155,0.96575,0.93366,0.96617,0.77601,0.72817,0.37673,0.87853,0.0001189,0.0001189,0.0001189
91,1287.1,0.75624,0.41336,0.9507,0.97517,0.92509,0.96517,0.76923,0.73078,0.37892,0.88224,0.000109,0.000109,0.000109
92,1310.07,0.74312,0.40422,0.94395,0.97191,0.92848,0.96793,0.77439,0.73807,0.37716,0.88418,9.91e-05,9.91e-05,9.91e-05
93,1332.48,0.73503,0.39988,0.94356,0.96853,0.93492,0.9672,0.7756,0.73404,0.37573,0.88179,8.92e-05,8.92e-05,8.92e-05
94,1355.04,0.73486,0.3811,0.94018,0.95247,0.93558,0.96422,0.77481,0.72548,0.37405,0.87906,7.93e-05,7.93e-05,7.93e-05
95,1377.6,0.72505,0.39073,0.93592,0.97537,0.93432,0.96568,0.77698,0.72912,0.37459,0.87881,6.94e-05,6.94e-05,6.94e-05
96,1400.33,0.73228,0.3868,0.93924,0.96547,0.9328,0.9682,0.77694,0.72491,0.37093,0.87761,5.95e-05,5.95e-05,5.95e-05
97,1422.84,0.71834,0.38494,0.93125,0.96615,0.93243,0.96793,0.78129,0.72487,0.36847,0.87878,4.96e-05,4.96e-05,4.96e-05
98,1445.37,0.71069,0.37757,0.93082,0.97257,0.93486,0.96818,0.78492,0.72157,0.36318,0.87789,3.97e-05,3.97e-05,3.97e-05
99,1467.92,0.69401,0.37091,0.92311,0.98158,0.93351,0.96977,0.78306,0.72144,0.36523,0.87785,2.98e-05,2.98e-05,2.98e-05
100,1490.45,0.70707,0.38193,0.92696,0.97668,0.92965,0.97005,0.78512,0.72143,0.36286,0.87751,1.99e-05,1.99e-05,1.99e-05
